"","cond","vA_sue","vB_sue","defec","negl","countf","capab","fault","superh","comp1","comp2","familiarity","countf2","cond_name","cond_n","superh_level","superh_level_n"
"26","FL_39",100,0,0,0,0,0,100,50,1,1,41,0,"av",1,"AVs should not be superhuman",1
"27","FL_39",100,2,0,0,25,6,25,88,1,1,16,25,"av",1,"AVs should be superhuman",1
"28","FL_39",99,2,0,7,10,10,34,56,1,1,18,10,"av",1,"AVs should be superhuman",1
"29","FL_39",88,7,7,11,35,50,65,100,1,1,50,35,"av",1,"AVs should be superhuman",1
"30","FL_39",88,6,3,1,9,17,62,26,1,1,20,9,"av",1,"AVs should not be superhuman",1
"31","FL_39",100,0,0,0,70,20,100,100,1,1,20,70,"av",1,"AVs should be superhuman",1
"32","FL_39",100,0,0,0,50,50,100,100,1,1,6,50,"av",1,"AVs should be superhuman",1
"33","FL_39",100,0,0,0,0,65,100,47,1,1,18,0,"av",1,"AVs should not be superhuman",1
"34","FL_39",100,9,5,0,3,10,38,92,1,1,30,3,"av",1,"AVs should be superhuman",1
"35","FL_39",100,0,0,0,3,5,75,20,1,1,65,3,"av",1,"AVs should not be superhuman",1
"36","FL_39",100,0,0,0,14,37,92,100,1,1,69,14,"av",1,"AVs should be superhuman",1
"37","FL_39",100,21,25,10,18,17,75,83,1,1,41,18,"av",1,"AVs should be superhuman",1
"38","FL_39",100,0,2,3,22,10,95,93,1,1,0,22,"av",1,"AVs should be superhuman",1
"39","FL_39",100,0,0,0,0,0,50,60,1,1,0,0,"av",1,"AVs should be superhuman",1
"40","FL_39",100,0,0,0,0,40,100,0,1,1,0,0,"av",1,"AVs should not be superhuman",1
"41","FL_39",100,0,0,0,0,0,50,55,1,1,55,0,"av",1,"AVs should be superhuman",1
"42","FL_39",100,0,0,0,0,0,51,52,1,1,3,0,"av",1,"AVs should be superhuman",1
"43","FL_39",100,0,0,0,30,12,100,100,1,1,40,30,"av",1,"AVs should be superhuman",1
"44","FL_39",98,47,40,37,34,77,87,51,1,1,43,34,"av",1,"AVs should be superhuman",1
"45","FL_39",100,0,0,0,0,0,10,50,1,1,20,0,"av",1,"AVs should not be superhuman",1
