"","cond","vA_sue","vB_sue","defec","negl","countf","capab","fault","superh","comp1","comp2","familiarity","mod","countf2","cond_name","cond_n"
"40","FL_39",100,0,0,0,0,0,61,100,1,1,0,46.6666666666667,0,"av",1
"41","FL_39",100,0,0,0,0,0,60,73,1,1,100,91.2666666666667,0,"av",1
"42","FL_39",92,0,9,0,10,40,61,30,1,1,50,55.7333333333333,10,"av",1
"43","FL_39",0,84,62,82,93,91,100,100,1,1,0,34.9333333333333,93,"av",1
"44","FL_39",100,0,0,0,25,25,100,100,1,1,100,93.3333333333333,25,"av",1
"45","FL_39",100,1,0,0,59,17,8,55,1,1,77,67.2,59,"av",1
"46","FL_39",6,9,9,68,94,82,90,74,1,1,7,24,94,"av",1
"47","FL_39",100,0,0,0,20,0,100,95,1,1,0,19.3333333333333,20,"av",1
"48","FL_39",99,25,13,18,100,30,84,85,1,1,79,78.0666666666667,100,"av",1
"49","FL_39",75,60,60,50,81,40,71,92,1,1,30,43.8,81,"av",1
"50","FL_39",100,0,0,0,49,29,50,17,1,1,0,24.5333333333333,49,"av",1
"51","FL_39",65,61,74,78,56,66,39,87,1,1,63,62,56,"av",1
"52","FL_39",85,31,31,33,67,78,77,83,1,1,80,74.6666666666667,67,"av",1
"53","FL_39",75,4,29,16,60,35,50,90,1,1,0,50,60,"av",1
"54","FL_39",100,16,5,0,50,50,81,100,1,1,50,53,50,"av",1
"55","FL_39",93,8,12,8,17,18,65,100,1,1,5,34.3333333333333,17,"av",1
"56","FL_39",100,0,0,0,0,0,74,100,1,1,100,88,0,"av",1
"57","FL_39",100,0,0,100,0,0,50,100,1,1,85,86.8666666666667,0,"av",1
"58","FL_39",100,0,19,0,43,20,50,73,1,1,50,69.4666666666667,43,"av",1
"59","FL_39",100,0,0,0,10,10,50,70,1,1,50,39,10,"av",1
"60","FL_39",100,0,0,0,85,50,100,100,1,1,25,61.0666666666667,85,"av",1
"61","FL_39",100,40,60,20,100,30,100,100,1,1,20,22.6666666666667,100,"av",1
"62","FL_39",81,9,0,0,3,1,40,81,1,1,28,53.4,3,"av",1
"63","FL_39",100,24,75,69,10,84,68,100,1,1,18,27.5333333333333,10,"av",1
"64","FL_39",100,0,0,0,10,0,71,51,1,1,63,67.7333333333333,10,"av",1
"65","FL_39",100,0,0,0,77,79,100,100,1,1,76,80.4666666666667,77,"av",1
"66","FL_39",100,1,2,0,67,18,62,57,1,1,22,48.4666666666667,67,"av",1
"67","FL_39",97,0,5,0,35,18,37,81,1,1,53,55.2666666666667,35,"av",1
"68","FL_39",1,87,86,96,59,88,50,84,1,1,50,60.7333333333333,59,"av",1
"69","FL_39",80,61,32,80,94,92,100,79,1,1,33,35.9333333333333,94,"av",1
"70","FL_39",50,70,72,80,20,47,64,83,1,1,86,61.2666666666667,20,"av",1
"71","FL_39",72,9,9,9,95,40,30,30,1,1,20,38.5333333333333,95,"av",1
"72","FL_39",96,31,40,52,82,70,77,100,1,1,71,67.6,82,"av",1
"73","FL_39",100,0,0,100,5,0,100,65,1,1,20,43.3333333333333,5,"av",1
"74","FL_39",100,0,50,0,60,50,100,91,1,1,100,62,60,"av",1
"75","FL_39",100,75,60,50,100,80,95,100,1,1,65,63,100,"av",1
"76","FL_39",81,12,5,14,31,37,29,69,1,1,59,66.2666666666667,31,"av",1
"77","FL_39",62,89,78,73,61,63,89,83,1,1,88,73.5333333333333,61,"av",1
"78","FL_39",100,0,0,0,0,0,50,0,1,1,0,63.0666666666667,0,"av",1
"79","FL_39",100,0,0,0,50,19,51,72,1,1,100,81.2666666666667,50,"av",1
"80","FL_39",100,0,0,0,71,39,70,70,1,1,71,66,71,"av",1
"81","FL_39",0,15,10,10,80,15,30,60,1,1,60,64,80,"av",1
"82","FL_39",100,0,0,0,10,0,20,100,1,1,0,28.3333333333333,10,"av",1
"83","FL_39",100,0,68,0,95,19,94,0,1,1,0,88.2666666666667,95,"av",1
